student_id,name,interests,preferences,grades_json
29,Elena Dumitrescu_29,Design|Matematica|Materiale,Creativ,"{""Chimie"": 6.1, ""Limba Romana"": 9.0, ""Fizica"": 9.2, ""Geografie"": 7.7, ""Desen"": 9.6, ""Istorie"": 6.8, ""Biologie"": 8.3}"
30,Stefan Dumitrescu_30,Statistica|Biologie|Sociologie|Drept,Umanist,"{""Fizica"": 6.0, ""Chimie"": 6.5, ""Geografie"": 9.1, ""Matematica"": 8.6, ""Istorie"": 7.4, ""Desen"": 9.8, ""Informatica"": 8.1, ""Limba Romana"": 7.8}"
31,Daniel Popescu_31,Materiale|Istorie|Finante|Geografie,Social|Medical,"{""Istorie"": 7.4, ""Limba Romana"": 6.2, ""Fizica"": 8.7, ""Geografie"": 6.9, ""Economie"": 6.2, ""Chimie"": 7.0, ""Biologie"": 6.7, ""Matematica"": 9.3, ""Desen"": 9.4}"
32,Laura Georgescu_32,Programare|Arheologie,Tehnic|Social,"{""Fizica"": 9.8, ""Istorie"": 7.5, ""Matematica"": 6.0, ""Limba Romana"": 8.5, ""Biologie"": 8.4, ""Informatica"": 6.3, ""Desen"": 8.1}"
33,Ana Olaru_33,Antreprenoriat|Cercetare,Creativ,"{""Fizica"": 8.4, ""Economie"": 7.7, ""Matematica"": 8.3, ""Geografie"": 8.4, ""Limba Romana"": 9.6, ""Informatica"": 8.1, ""Chimie"": 8.1, ""Biologie"": 7.9}"
34,Laura Olaru_34,Robotica|Antreprenoriat|Drept|Marketing,Umanist|Stiintific,"{""Desen"": 6.3, ""Informatica"": 7.6, ""Chimie"": 7.0, ""Economie"": 9.1, ""Geografie"": 6.9, ""Biologie"": 6.5, ""Istorie"": 8.4, ""Limba Romana"": 8.7, ""Fizica"": 9.6, ""Matematica"": 7.2}"
35,Adriana Dumitrescu_35,Arheologie|Design,Creativ,"{""Geografie"": 6.7, ""Fizica"": 9.1, ""Biologie"": 7.0, ""Chimie"": 10.0, ""Informatica"": 9.0, ""Desen"": 9.1, ""Matematica"": 7.4, ""Istorie"": 9.8, ""Economie"": 8.1, ""Limba Romana"": 7.0}"
36,Maria Dumitrescu_36,Statistica|Geografie,Stiintific|Creativ,"{""Informatica"": 9.6, ""Geografie"": 9.5, ""Limba Romana"": 7.6, ""Economie"": 7.3, ""Istorie"": 8.8, ""Fizica"": 6.9, ""Biologie"": 7.5, ""Chimie"": 6.9}"
37,Ana Nicolae_37,Geografie|Arheologie|Genetica|Fizica,Stiintific|Social,"{""Limba Romana"": 7.2, ""Desen"": 8.6, ""Istorie"": 7.9, ""Chimie"": 7.4, ""Economie"": 7.9, ""Fizica"": 8.0, ""Geografie"": 8.0, ""Informatica"": 8.7, ""Matematica"": 9.9}"
38,Stefan Stanescu_38,Finante|Chimie,Creativ,"{""Informatica"": 8.9, ""Fizica"": 8.9, ""Geografie"": 9.8, ""Economie"": 6.2, ""Desen"": 8.2, ""Biologie"": 8.2, ""Limba Romana"": 9.0, ""Matematica"": 7.6}"
39,Gabriel Dumitrescu_39,Electronica|Design,Financiar,"{""Informatica"": 8.4, ""Matematica"": 6.4, ""Chimie"": 6.6, ""Economie"": 8.2, ""Geografie"": 9.8, ""Fizica"": 9.5, ""Biologie"": 7.3, ""Desen"": 9.1, ""Limba Romana"": 6.1}"
40,Mihai Stanescu_40,Electronica|Finante|RI|Psihologie,Umanist|Creativ,"{""Istorie"": 7.0, ""Geografie"": 6.1, ""Economie"": 9.7, ""Matematica"": 6.3, ""Fizica"": 8.8, ""Desen"": 8.4, ""Informatica"": 9.8, ""Limba Romana"": 7.5}"
41,Laura Radu_41,Marketing|Drept|Informatica|Istorie,Stiintific|Creativ,"{""Limba Romana"": 7.7, ""Matematica"": 6.1, ""Informatica"": 6.8, ""Fizica"": 6.2, ""Geografie"": 7.6}"
42,Mihai Nicolae_42,Cercetare|Psihologie|Economie|Drept,Medical,"{""Informatica"": 6.4, ""Fizica"": 6.1, ""Chimie"": 8.5, ""Limba Romana"": 6.9, ""Matematica"": 7.2, ""Geografie"": 7.6, ""Economie"": 9.9, ""Desen"": 6.9, ""Biologie"": 6.3, ""Istorie"": 8.4}"
43,Elena Stanescu_43,Design|Statistica|Robotica,Stiintific|Medical,"{""Matematica"": 6.2, ""Fizica"": 6.3, ""Informatica"": 7.0, ""Desen"": 6.2, ""Biologie"": 6.6, ""Economie"": 6.0, ""Geografie"": 8.9, ""Limba Romana"": 8.7, ""Istorie"": 6.0, ""Chimie"": 8.6}"
44,Laura Stoica_44,Psihologie|Finante|Fizica|RI,Financiar|Tehnic,"{""Economie"": 7.2, ""Chimie"": 6.3, ""Fizica"": 6.4, ""Biologie"": 6.2, ""Limba Romana"": 8.6}"
45,Gabriel Popescu_45,AI|Drept|Matematica,Medical,"{""Desen"": 6.7, ""Chimie"": 8.6, ""Informatica"": 7.8, ""Geografie"": 9.2, ""Limba Romana"": 8.8, ""Matematica"": 7.8}"
46,Alexandru Popescu_46,AI|Cibernetica|Design|Biologie,Tehnic,"{""Informatica"": 6.7, ""Matematica"": 7.7, ""Geografie"": 6.6, ""Fizica"": 6.4, ""Economie"": 8.2}"
47,Ana Olaru_47,Economie|Istorie|Cibernetica,Umanist,"{""Chimie"": 9.7, ""Economie"": 8.9, ""Desen"": 7.4, ""Fizica"": 6.5, ""Informatica"": 8.5}"
48,Stefan Dumitrescu_48,Fizica|Psihologie|Informatica|Chimie,Medical,"{""Geografie"": 10.0, ""Biologie"": 9.5, ""Limba Romana"": 9.5, ""Fizica"": 9.7, ""Istorie"": 9.8, ""Economie"": 6.7, ""Matematica"": 6.5}"
49,Roxana Petrescu_49,Cibernetica|Statistica|Medicina,Stiintific|Financiar,"{""Limba Romana"": 9.4, ""Economie"": 7.9, ""Fizica"": 7.4, ""Desen"": 9.6, ""Informatica"": 6.9, ""Matematica"": 8.4, ""Biologie"": 9.1, ""Chimie"": 9.2}"
50,Roxana Radu_50,Electronica|Matematica|Istorie|Inovatie,Medical,"{""Biologie"": 8.2, ""Geografie"": 10.0, ""Chimie"": 6.3, ""Desen"": 9.4, ""Economie"": 6.1}"
51,Gabriel Ionescu_51,Drept|Programare,Stiintific,"{""Biologie"": 6.8, ""Istorie"": 9.7, ""Geografie"": 7.5, ""Informatica"": 8.1, ""Desen"": 7.4}"
52,Stefan Marin_52,Marketing|Chimie|Programare|Management,Financiar|Creativ,"{""Istorie"": 7.4, ""Economie"": 7.1, ""Chimie"": 8.8, ""Matematica"": 6.3, ""Biologie"": 9.7, ""Desen"": 7.7, ""Informatica"": 7.3}"
53,Ana Dumitrescu_53,Marketing|Istorie|Medicina|Drept,Social|Tehnic,"{""Informatica"": 7.6, ""Economie"": 9.5, ""Fizica"": 9.7, ""Istorie"": 9.1, ""Chimie"": 9.0, ""Geografie"": 9.4, ""Matematica"": 8.7, ""Desen"": 6.6, ""Limba Romana"": 7.9}"
54,Alexandru Popescu_54,Istorie|Fizica,Financiar,"{""Fizica"": 9.5, ""Matematica"": 6.2, ""Chimie"": 7.9, ""Informatica"": 7.0, ""Geografie"": 6.1, ""Desen"": 7.8, ""Biologie"": 8.0, ""Istorie"": 7.4}"
55,Ioana Nicolae_55,Finante|Statistica|Istorie|Genetica,Umanist,"{""Economie"": 6.0, ""Biologie"": 8.0, ""Desen"": 8.0, ""Geografie"": 9.3, ""Matematica"": 6.9, ""Istorie"": 7.0, ""Limba Romana"": 8.8, ""Informatica"": 9.1}"
56,Elena Marin_56,Arhitectura|Antreprenoriat,Medical,"{""Limba Romana"": 7.0, ""Istorie"": 8.3, ""Desen"": 9.2, ""Economie"": 9.6, ""Chimie"": 8.9, ""Biologie"": 8.7, ""Geografie"": 6.9, ""Matematica"": 6.6, ""Fizica"": 8.0}"
57,Daniel Nicolae_57,Sociologie|Chimie|Economie|Psihologie,Umanist,"{""Biologie"": 7.7, ""Geografie"": 7.9, ""Desen"": 6.6, ""Limba Romana"": 7.4, ""Matematica"": 7.1, ""Informatica"": 8.1, ""Fizica"": 8.4, ""Istorie"": 6.8, ""Chimie"": 7.4, ""Economie"": 8.5}"
58,Mihai Popescu_58,Mecanica|Statistica,Financiar,"{""Informatica"": 8.1, ""Desen"": 8.2, ""Economie"": 7.2, ""Matematica"": 7.6, ""Fizica"": 6.3, ""Geografie"": 7.0}"
59,Gabriel Ionescu_59,Biologie|Arheologie|Psihologie,Social,"{""Desen"": 6.5, ""Chimie"": 6.9, ""Istorie"": 9.6, ""Informatica"": 8.2, ""Geografie"": 7.5, ""Limba Romana"": 6.4, ""Biologie"": 8.8, ""Matematica"": 10.0}"
60,Maria Olaru_60,Electronica|Economie|Drept,Umanist,"{""Biologie"": 8.7, ""Matematica"": 7.8, ""Economie"": 7.5, ""Fizica"": 6.4, ""Istorie"": 6.0, ""Geografie"": 8.5, ""Chimie"": 7.0, ""Informatica"": 8.2, ""Limba Romana"": 8.3, ""Desen"": 6.9}"
61,Ioana Radu_61,Finante|Sociologie|Drept|Istorie,Tehnic|Umanist,"{""Biologie"": 8.4, ""Desen"": 7.3, ""Limba Romana"": 8.3, ""Fizica"": 8.1, ""Informatica"": 8.1, ""Matematica"": 8.9, ""Istorie"": 7.5, ""Chimie"": 6.4}"
62,Ana Nicolae_62,Electronica|Economie|Cercetare,Tehnic|Creativ,"{""Fizica"": 8.5, ""Matematica"": 7.3, ""Istorie"": 9.6, ""Desen"": 7.7, ""Chimie"": 7.1, ""Geografie"": 6.9}"
63,Adriana Georgescu_63,Statistica|Management|Informatica|Antreprenoriat,Umanist,"{""Desen"": 7.4, ""Chimie"": 9.4, ""Istorie"": 9.3, ""Fizica"": 8.6, ""Informatica"": 7.2, ""Matematica"": 6.9}"
64,Daniel Stoica_64,Programare|AI|Antreprenoriat,Financiar,"{""Limba Romana"": 7.1, ""Fizica"": 6.2, ""Istorie"": 9.3, ""Economie"": 6.3, ""Biologie"": 8.4, ""Informatica"": 6.5, ""Chimie"": 7.4, ""Geografie"": 7.5, ""Desen"": 8.2, ""Matematica"": 7.3}"
65,Laura Nicolae_65,Statistica|Finante,Financiar|Umanist,"{""Informatica"": 6.5, ""Limba Romana"": 9.3, ""Economie"": 6.7, ""Biologie"": 7.0, ""Matematica"": 6.8, ""Istorie"": 7.3, ""Desen"": 9.7, ""Fizica"": 7.7}"
66,Cristian Petrescu_66,Informatica|AI|Management|Design,Medical|Umanist,"{""Limba Romana"": 7.3, ""Fizica"": 9.4, ""Istorie"": 8.9, ""Matematica"": 7.1, ""Economie"": 8.9, ""Desen"": 7.3, ""Biologie"": 9.8, ""Chimie"": 8.6}"
67,Andrei Dumitrescu_67,RI|Finante|Psihologie|Management,Creativ,"{""Geografie"": 6.9, ""Istorie"": 6.4, ""Economie"": 6.8, ""Informatica"": 6.2, ""Chimie"": 7.4, ""Fizica"": 9.3, ""Biologie"": 8.7, ""Matematica"": 6.2, ""Limba Romana"": 8.7, ""Desen"": 9.4}"
68,Laura Popescu_68,Istorie|Arhitectura,Creativ|Medical,"{""Chimie"": 6.7, ""Economie"": 9.5, ""Biologie"": 7.2, ""Desen"": 6.7, ""Fizica"": 6.8, ""Limba Romana"": 7.4}"
69,Daniel Popescu_69,Cercetare|Marketing,Social,"{""Geografie"": 7.1, ""Fizica"": 9.9, ""Matematica"": 9.0, ""Desen"": 7.1, ""Economie"": 9.0, ""Limba Romana"": 7.7, ""Istorie"": 6.1}"
70,Laura Radu_70,Marketing|Electronica,Financiar|Social,"{""Economie"": 7.8, ""Matematica"": 7.1, ""Biologie"": 7.9, ""Fizica"": 7.3, ""Informatica"": 6.2, ""Chimie"": 7.5}"
71,Andrei Nicolae_71,Fizica|Inovatie|Psihologie,Medical,"{""Istorie"": 9.1, ""Fizica"": 9.7, ""Chimie"": 9.1, ""Economie"": 7.0, ""Limba Romana"": 8.7, ""Matematica"": 6.4, ""Geografie"": 8.0, ""Desen"": 6.4}"
72,Elena Georgescu_72,Sociologie|Inovatie|Matematica|Marketing,Stiintific|Social,"{""Informatica"": 9.9, ""Economie"": 8.1, ""Biologie"": 7.8, ""Matematica"": 7.5, ""Chimie"": 7.3, ""Geografie"": 6.4}"
73,Elena Popescu_73,Chimie|Robotica|Management|Arhitectura,Tehnic|Medical,"{""Biologie"": 8.8, ""Chimie"": 9.3, ""Economie"": 6.2, ""Informatica"": 9.3, ""Geografie"": 9.9, ""Desen"": 9.0, ""Limba Romana"": 8.3}"
74,Stefan Stoica_74,Arhitectura|Genetica|Psihologie,Financiar|Social,"{""Fizica"": 6.5, ""Geografie"": 9.3, ""Informatica"": 6.0, ""Economie"": 9.7, ""Chimie"": 8.2}"
75,Ana Marin_75,Marketing|Arheologie|Cibernetica|Mecanica,Financiar,"{""Chimie"": 7.1, ""Biologie"": 8.4, ""Limba Romana"": 8.9, ""Desen"": 6.5, ""Geografie"": 6.2, ""Istorie"": 6.6, ""Fizica"": 8.3}"
76,Ion Olaru_76,Inovatie|Design|Informatica,Medical,"{""Fizica"": 6.0, ""Chimie"": 7.6, ""Istorie"": 6.0, ""Biologie"": 9.8, ""Matematica"": 9.1, ""Economie"": 9.0}"
77,Gabriel Popescu_77,Marketing|Geografie,Medical|Financiar,"{""Geografie"": 8.5, ""Matematica"": 9.0, ""Limba Romana"": 7.1, ""Informatica"": 7.2, ""Economie"": 8.1}"
78,Ion Vasilescu_78,Finante|Medicina|Antreprenoriat|Informatica,Financiar,"{""Biologie"": 8.2, ""Matematica"": 8.7, ""Economie"": 8.6, ""Geografie"": 7.2, ""Chimie"": 6.0, ""Limba Romana"": 8.8, ""Desen"": 8.8, ""Istorie"": 6.7, ""Informatica"": 6.3}"
79,Mihai Vasilescu_79,Biologie|Robotica,Tehnic,"{""Economie"": 6.5, ""Fizica"": 7.3, ""Matematica"": 7.5, ""Chimie"": 7.1, ""Geografie"": 8.9, ""Informatica"": 7.8, ""Istorie"": 9.4, ""Limba Romana"": 9.5, ""Biologie"": 7.7}"
80,Cristian Petrescu_80,Antreprenoriat|Statistica|Fizica|RI,Financiar|Creativ,"{""Geografie"": 9.0, ""Biologie"": 8.0, ""Fizica"": 7.4, ""Economie"": 6.9, ""Chimie"": 8.3, ""Informatica"": 8.2}"
81,Elena Olaru_81,Robotica|Finante,Social,"{""Matematica"": 6.8, ""Desen"": 7.5, ""Biologie"": 10.0, ""Fizica"": 8.1, ""Istorie"": 8.9, ""Chimie"": 7.2, ""Limba Romana"": 8.4, ""Economie"": 9.6, ""Geografie"": 8.4, ""Informatica"": 7.5}"
82,Mihai Stoica_82,Antreprenoriat|Finante,Tehnic|Umanist,"{""Matematica"": 6.6, ""Geografie"": 8.5, ""Fizica"": 9.6, ""Chimie"": 7.2, ""Limba Romana"": 6.7}"
83,Ioana Marin_83,AI|Management|Drept|Arheologie,Stiintific,"{""Istorie"": 6.5, ""Chimie"": 9.0, ""Matematica"": 9.0, ""Desen"": 7.8, ""Geografie"": 7.9, ""Limba Romana"": 8.2, ""Informatica"": 8.2, ""Biologie"": 8.9}"
84,Ana Dumitrescu_84,Istorie|Chimie|RI,Tehnic,"{""Geografie"": 9.5, ""Biologie"": 8.4, ""Chimie"": 8.3, ""Desen"": 6.7, ""Economie"": 7.7, ""Fizica"": 9.1, ""Limba Romana"": 9.8}"
85,Andrei Dumitrescu_85,Robotica|Cercetare|Statistica|Fizica,Medical,"{""Economie"": 8.8, ""Informatica"": 7.2, ""Chimie"": 9.2, ""Limba Romana"": 6.7, ""Istorie"": 9.4, ""Biologie"": 8.8, ""Geografie"": 9.4, ""Matematica"": 6.5, ""Fizica"": 6.6, ""Desen"": 8.0}"
86,Roxana Dumitrescu_86,Fizica|Genetica|Geografie|Chimie,Social|Tehnic,"{""Matematica"": 8.8, ""Fizica"": 9.2, ""Geografie"": 9.1, ""Biologie"": 7.2, ""Chimie"": 7.0}"
87,Roxana Radu_87,Biologie|Robotica|Materiale,Medical,"{""Biologie"": 8.7, ""Istorie"": 8.0, ""Economie"": 9.5, ""Chimie"": 7.6, ""Limba Romana"": 7.1, ""Geografie"": 8.4, ""Fizica"": 7.0, ""Desen"": 6.6, ""Informatica"": 7.8}"
88,Daniel Stoica_88,Management|AI|Psihologie,Financiar,"{""Limba Romana"": 6.3, ""Geografie"": 8.8, ""Istorie"": 7.6, ""Matematica"": 9.1, ""Fizica"": 7.4, ""Desen"": 9.9, ""Economie"": 8.0, ""Biologie"": 8.4}"
89,Daniel Vasilescu_89,Cercetare|Inovatie,Umanist|Stiintific,"{""Biologie"": 8.4, ""Economie"": 7.2, ""Informatica"": 6.5, ""Geografie"": 7.6, ""Desen"": 9.1}"
90,Gabriel Stanescu_90,Drept|Informatica|Biologie|Matematica,Creativ,"{""Economie"": 6.4, ""Limba Romana"": 7.5, ""Matematica"": 7.1, ""Informatica"": 7.4, ""Fizica"": 8.1, ""Desen"": 6.0, ""Geografie"": 9.9, ""Istorie"": 8.6, ""Chimie"": 6.9}"
91,Mihai Petrescu_91,Materiale|Finante,Umanist,"{""Matematica"": 7.8, ""Istorie"": 8.4, ""Fizica"": 8.5, ""Informatica"": 9.8, ""Desen"": 7.8, ""Limba Romana"": 7.7, ""Chimie"": 8.6}"
92,Daniel Olaru_92,Biologie|Materiale,Creativ,"{""Informatica"": 6.2, ""Limba Romana"": 6.8, ""Matematica"": 9.2, ""Chimie"": 9.5, ""Fizica"": 8.8, ""Geografie"": 6.3, ""Desen"": 6.8}"
93,Adriana Nicolae_93,Sociologie|Fizica,Umanist|Social,"{""Desen"": 7.4, ""Geografie"": 6.9, ""Biologie"": 8.4, ""Economie"": 7.1, ""Informatica"": 6.2, ""Limba Romana"": 7.2, ""Matematica"": 6.2}"
94,Andrei Stanescu_94,Istorie|Sociologie|Cibernetica,Social|Financiar,"{""Biologie"": 6.8, ""Informatica"": 6.4, ""Fizica"": 9.8, ""Geografie"": 8.4, ""Matematica"": 9.5, ""Chimie"": 6.2, ""Limba Romana"": 6.5, ""Istorie"": 6.8, ""Economie"": 8.2}"
95,Laura Stanescu_95,Inovatie|Marketing|Arheologie,Tehnic|Creativ,"{""Desen"": 8.3, ""Biologie"": 9.5, ""Chimie"": 7.0, ""Fizica"": 9.8, ""Istorie"": 6.2, ""Matematica"": 9.6, ""Geografie"": 9.7, ""Economie"": 7.3, ""Limba Romana"": 6.7, ""Informatica"": 6.1}"
96,Ana Radu_96,Programare|Matematica|Finante|RI,Stiintific|Medical,"{""Fizica"": 8.6, ""Matematica"": 6.8, ""Desen"": 9.6, ""Economie"": 9.9, ""Chimie"": 8.4, ""Limba Romana"": 6.1, ""Informatica"": 8.4}"
97,Roxana Stoica_97,Design|Robotica|RI|AI,Medical,"{""Fizica"": 7.9, ""Geografie"": 7.8, ""Desen"": 8.5, ""Limba Romana"": 7.4, ""Chimie"": 7.4, ""Economie"": 8.3}"
98,Maria Radu_98,Drept|Psihologie|Materiale|Arhitectura,Stiintific|Umanist,"{""Istorie"": 6.2, ""Informatica"": 9.5, ""Biologie"": 7.8, ""Fizica"": 6.2, ""Chimie"": 6.1, ""Desen"": 9.9}"
99,Ion Stanescu_99,Statistica|Antreprenoriat,Umanist|Financiar,"{""Limba Romana"": 6.4, ""Matematica"": 7.0, ""Fizica"": 9.1, ""Desen"": 7.4, ""Biologie"": 7.8, ""Informatica"": 7.3, ""Chimie"": 10.0}"
100,Gabriel Olaru_100,Informatica|Marketing,Financiar,"{""Informatica"": 6.2, ""Biologie"": 7.8, ""Limba Romana"": 7.3, ""Istorie"": 7.8, ""Desen"": 6.2, ""Geografie"": 7.0, ""Matematica"": 8.0, ""Economie"": 9.9, ""Fizica"": 9.3, ""Chimie"": 7.8}"
101,Laura Petrescu_101,Medicina|Arheologie,Social|Stiintific,"{""Limba Romana"": 7.2, ""Informatica"": 8.6, ""Chimie"": 6.4, ""Istorie"": 9.5, ""Matematica"": 6.8, ""Desen"": 9.9, ""Economie"": 6.5}"
